	AS	DW	GW	MW	NW	WW
AS	1.0000	0.1267	0.0990	0.0099	0.2476	0.6095
DW	0.1267	1.0000	0.1847	0.0241	0.4694	0.1102
GW	0.0990	0.1847	1.0000	0.0416	0.1392	0.1133
MW	0.0099	0.0241	0.0416	1.0000	0.0682	0.0128
NW	0.2476	0.4694	0.1392	0.0682	1.0000	0.2875
WW	0.6095	0.1102	0.1133	0.0128	0.2875	1.0000
