	AS	DW	GW	MW	NW	WW
AS	0.0000	0.1071	0.1335	0.0068	0.1077	0.2650
DW	0.0425	0.0000	0.1897	0.0128	0.1553	0.0616
GW	0.0246	0.0881	0.0000	0.0093	0.0446	0.0457
MW	0.0023	0.0109	0.0170	0.0000	0.0203	0.0048
NW	0.0931	0.3385	0.2094	0.0520	0.0000	0.1718
WW	0.1625	0.0952	0.1523	0.0088	0.1218	0.0000
