source	target	containment
AS	DW	0.1071
AS	GW	0.1335
AS	NW	0.1077
AS	WW	0.2650
DW	GW	0.1897
NW	DW	0.3385
WW	DW	0.0952
NW	GW	0.2094
WW	GW	0.1523
NW	MW	0.0520
NW	WW	0.1718
