Representative	AS	DW	GW	Group	MW	NW	WW
SRR17063163_k141_980291_1_86518649	474	232	115	0	17	542	480
SRR10132625_k141_724079_2_285393283	342	220	97	0	6	517	431
ERR1725992_k141_420576_1_65002179	461	217	108	0	25	558	491
SRR19238509_k141_560317_1_130793023	329	332	109	0	57	420	255
SRR9852218_k141_1273965_1_166850152	390	199	121	0	5	504	490
SRR12404952_k141_1564347_11_97634837	473	245	140	0	26	575	474
SRR14932552_k141_1232861_33_563407340	403	193	107	0	12	553	424
SRR9852175_k141_1700619_2_271803297	505	247	110	0	9	558	449
SRR10761724_k141_1263816_4_49679251	462	245	133	0	15	557	380
SRR7369924_k141_182572_1_25453879	515	257	158	0	14	574	508
SRR14932667_k141_36702_1_761126808	465	208	109	0	10	547	488
ERR4678642_k141_472889_3_145091621	467	221	124	0	5	522	493
ERR11269302_k141_1795336_1_198585895	437	210	101	0	7	542	498
SRR12964613_k141_705010_2_114817913	390	211	148	0	3	380	498
ERR4869746_k141_999657_2_94344164	390	200	116	0	20	544	343
SRR1702232_k141_114875_30_13056923	523	226	126	0	17	387	340
SRR12113421_k141_547054_2_108929284	526	246	133	0	8	570	488
SRR11088437_k141_2014718_1_113316618	424	211	118	0	13	542	476
SRR11088485_k141_287584_1_409587900	300	197	113	0	3	435	442
SRR18331980_k141_60954_5_179187685	320	205	112	0	5	489	440
SRR6747747_k141_252222_2_96990129	434	196	100	0	3	463	433
SRR18331972_k141_74790_2_145041309	377	196	105	0	9	511	444
SRR26726064_k141_218947_1_158685564	545	320	170	0	28	604	516
SRR14932487_k141_172156_6_461832379	431	301	104	0	64	455	260
SRR1702233_k141_127079_1_13150523	345	197	103	0	5	537	367
SRR15669517_k141_449602_1_136109918	545	338	185	0	109	633	522
ERR3281039_k141_112092_3_12475217	459	274	140	0	13	564	504
SRR14751621_k141_94462_2_518100691	343	182	91	0	5	489	462
ERR3761241_k141_203244_4_122788287	549	320	163	0	64	615	518
SRR11088390_k141_703809_6_21331279	371	195	113	0	7	546	507
SRR14932581_k141_288717_2_614450991	447	233	106	0	43	573	451
SRR8797412_k141_142822_1_60948384	468	232	124	0	64	568	458
ERR4678644_k141_71105_1_148097343	510	304	176	0	156	575	507
SRR9261051_k141_279437_1_250108586	509	229	111	0	259	560	505
SRR14751588_k141_439903_1_451688516	275	200	100	0	4	463	415
SRR19786822_k141_241673_1_580763189	467	254	156	0	18	534	513
ERR12084966_k141_548967_15_42344871	349	192	99	0	237	502	376
SRR8208348_k141_1509404_1_197757001	506	251	170	0	174	569	506
ERR4678647_k141_457015_1_120277441	442	220	137	0	7	480	485
SRR14932513_k141_1096883_8_488498636	387	195	108	0	8	487	477
SRR22752012_k141_603134_1_255904201	508	249	140	0	291	575	475
SRR5123275_k141_28844_1_55314209	416	242	142	0	6	554	492
SRR22752045_k141_353056_2_289891314	397	314	106	0	63	343	251
SRR9852217_k141_634480_3_354198260	394	199	94	0	6	505	460
SRR17063163_k141_585814_1_86888282	458	240	145	0	8	541	506
ERR11269307_k141_631997_1_206051492	305	208	97	0	9	495	450
ERR3761208_k141_772655_3_103610442	355	205	93	0	16	544	316
SRR22372550_k141_194615_3_187904187	397	247	95	0	3	376	314
SRR2107219_k141_75401_26_25070974	400	337	96	0	89	499	235
SRR2107215_k141_141793_20_23200577	519	260	148	0	16	583	517
SRR14932487_k141_843657_81_461368875	454	314	108	0	365	403	296
SRR14932621_k141_1155714_1_670451554	455	269	141	0	18	575	463
ERR4678576_k141_1810749_3_38066742	412	213	128	0	7	497	510
ERR1725939_k141_132886_1_194661049	502	254	146	0	74	554	480
SRR9261044_k141_185265_3_247035818	485	260	114	0	23	579	510
SRR11548473_k141_496653_4_68334645	382	195	120	0	2	443	478
SRR13608728_k141_1118691_103_362965778	393	215	102	0	5	507	498
ERR2592277_k141_471414_1_63373649	476	220	113	0	11	508	374
SRR9852180_k141_1152833_2_282954107	502	193	142	0	12	405	399
SRR14932514_k141_587989_1_490244464	503	250	136	0	6	457	493
SRR18331979_k141_31533_4_178998429	420	233	135	0	7	535	514
ERR4678568_k141_760132_6_3795700	422	228	116	0	12	552	503
SRR14932477_k141_768494_1_443645761	345	184	142	0	15	504	311
SRR12113407_k141_1357898_2_81047319	448	227	116	0	76	470	424
SRR4754862_k141_998756_4_118589825	413	182	101	0	7	554	484
SRR9852190_k141_379113_1_300864095	436	205	129	0	16	524	433
SRR13695361_k141_136613_13_241499312	404	241	115	0	4	501	443
SRR2107178_k141_33444_12_18088064	444	255	122	0	16	571	510
SRR18749960_k141_809395_2_92696375	448	252	132	0	20	581	509
SRR8517159_k141_1034985_1_58540005	524	268	159	0	24	597	517
SRR6797130_k119_46890_3_6872179	405	229	126	0	6	537	434
ERR3761241_k141_577858_56_122184141	471	234	136	0	17	551	466
ERR11269308_k141_380233_2_207402069	508	261	160	0	14	593	517
SRR21203041_k141_9134_2_178224307	554	312	173	0	59	627	521
ERR5954442_k141_630076_1_221206929	312	179	106	0	9	526	404
SRR14554404_k141_357261_10_399765967	376	187	96	0	3	477	449
ERR5954389_k141_592356_1_186245018	471	258	125	0	25	579	489
ERR1726035_k141_325743_2_22220197	378	200	98	0	14	557	491
SRR21694252_k141_47468_15_574372815	427	236	112	0	18	556	479
ERR4678613_k141_271980_1_29398103	415	195	99	0	11	514	483
ERR4869831_k141_197082_2_158911033	553	333	165	0	367	627	515
ERR1713367_k141_2067536_1_121573394	449	184	117	0	5	530	495
SRR12404961_k141_221945_1_10839151	504	214	125	0	19	566	510
ERR3761240_k141_488529_1_47415004	526	238	162	0	20	582	515
SRR18749954_k141_223150_2_107748682	535	245	137	0	312	487	495
SRR5306400_k119_90208_1_497010483	336	220	121	0	9	561	380
SRR13727527_k141_681191_16_124289520	447	226	124	0	4	418	447
SRR11088417_k141_114791_1_145144119	451	264	141	0	9	577	463
SRR12396704_k141_306107_8_236467615	403	223	95	0	7	476	500
ERR1713374_k141_567990_5_189829917	519	284	169	0	16	600	518
ERR5954436_k141_676602_2_217270863	282	187	104	0	7	494	464
SRR12964611_k141_164462_2_112685999	217	185	120	0	3	520	439
SRR7369912_k141_1010761_2_8277948	416	267	105	0	256	391	254
SRR8208343_k141_1798540_2_6341602	455	207	100	0	419	530	384
SRR26726064_k141_175865_51_158694675	555	355	191	0	390	628	528
SRR25018398_k141_13284_6_626913828	452	234	117	0	13	556	469
SRR12340499_k141_114983_2_220327969	456	343	111	0	100	404	295
SRR11088418_k141_1172912_1_41421190	391	229	120	0	9	406	485
ERR4869722_k141_612042_1_76346484	402	244	150	0	7	541	488
ERR1713406_k141_279717_1_165006272	464	221	125	0	23	572	492
SRR6800322_k141_202359_1_189814527	476	242	134	0	3	533	482
ERR1713376_k141_337487_2_130407697	534	277	154	0	141	595	488
ERR11269310_k141_1995617_1_209639199	421	186	140	0	5	457	464
SRR18749957_k141_569090_1_161097880	445	227	112	0	7	569	486
SRR13608701_k141_1780719_4_349473265	439	264	159	0	15	567	487
ERR9855093_k141_775797_2_27841419	489	256	152	0	20	569	521
SRR11088398_k141_1056931_2_104958082	496	279	161	0	29	612	497
SRR14492168_k141_243690_8_369894384	405	176	104	0	1	323	244
SRR14932613_k141_221547_1_656690397	436	314	105	0	26	403	232
SRR11674017_k141_393757_3_137578060	402	334	108	0	62	434	266
SRR21802947_k141_247916_2_590321115	337	185	103	0	4	460	399
SRR20309467_k141_704152_4_175068579	378	215	129	0	14	476	472
ERR1713371_k141_40936_1_126701090	418	177	91	0	22	511	453
SRR14751604_k141_1423732_4_460785077	445	223	137	0	9	571	505
ERR4678579_k141_767775_1_44679801	452	238	110	0	88	586	496
ERR2592250_k141_41723_5_72077101	445	206	109	0	7	514	504
ERR1726005_k141_713097_1_17162085	417	212	116	0	6	526	498
ERR3281036_k141_170614_16_10689612	429	224	128	0	15	547	447
SRR22752045_k141_67688_3_289043483	547	300	149	0	28	615	506
ERR11269302_k141_235353_2_198191205	316	202	100	0	3	491	465
ERR2592255_k141_265272_1_48583072	372	176	101	0	7	511	464
SRR14932552_k141_353901_1_564460191	504	199	120	0	10	510	402
SRR18331981_k141_33524_3_179216531	458	248	139	0	21	577	494
SRR4754862_k141_27960_2_118120847	482	284	140	0	67	620	471
SRR18331982_k141_105769_3_179385197	337	202	128	0	2	415	494
SRR9261018_k141_258562_1_232996650	516	369	135	0	699	568	351
SRR14932674_k141_174181_1_771800411	561	306	152	0	53	383	540
SRR9030454_k119_102060_2_230361193	378	201	107	0	3	506	479
SRR14751621_k141_9761_15_518367881	543	274	159	0	8	573	508
SRR10132659_k141_116691_1_290915222	372	239	119	0	9	542	492
SRR12404959_k141_1506689_4_138942155	423	296	92	0	45	415	277
ERR3281025_k141_59703_1_4601562	396	215	107	0	11	546	471
SRR26726064_k141_232655_7_158696611	342	176	105	0	5	482	446
ERR4678581_k141_363560_14_48330704	493	227	100	0	9	429	374
ERR1726033_k141_594359_2_9803575	517	284	151	0	17	595	515
ERR5954390_k141_57083_10_187815793	283	217	106	0	50	347	257
ERR1713375_k141_158095_6_129359484	449	238	129	0	8	537	498
ERR2592343_k141_966756_2_11723172	343	200	110	0	6	457	500
ERR4678648_k141_206838_5_121025843	386	200	110	0	5	520	501
ERR4678592_k141_372494_2_56205873	349	186	123	0	3	369	493
SRR26726066_k141_439858_1_160395714	340	245	96	0	263	357	259
ERR1725986_k141_148795_1_74423649	344	187	140	0	13	460	449
SRR2107173_k141_168890_1_16186572	471	176	122	0	3	439	420
SRR14932533_k141_2110150_4_528944500	459	250	148	0	138	540	334
SRR11088462_k141_51611_3_394726898	495	234	136	0	6	529	497
SRR5007141_k141_2651588_27_47428257	529	296	94	0	52	411	456
SRR12964611_k141_103139_3_112957866	359	228	141	0	2	524	486
SRR15669522_k141_855554_1_143799469	386	321	105	0	145	408	233
ERR12084966_k141_256953_2_43060510	424	186	93	0	2	455	287
SRR18331977_k141_107979_1_178518554	424	180	103	0	4	409	467
ERR9855092_k141_666236_1_54439862	238	193	104	0	5	482	452
SRR15669522_k141_309235_12_144077655	428	264	144	0	16	565	493
SRR7369918_k141_1140171_1_17578094	403	190	103	0	4	539	425
SRR19238512_k141_451878_2_133955478	375	211	122	0	8	545	489
SRR21427519_k141_127709_6_147171552	353	193	137	0	2	412	487
ERR5954481_k141_258703_14_243419350	389	189	93	0	9	523	324
SRR19238498_k141_766768_6_116972184	391	192	93	0	8	533	476
SRR13225456_k141_605100_1_343259827	359	190	104	0	7	487	477
ERR4869760_k141_29970_2_103980692	440	204	162	0	17	516	517
SRR10132662_k141_36331_2_294038143	462	203	111	0	9	550	493
