	AS	DW	GW	MW	NW	WW
AS	1.0000	0.1524	0.1146	0.0126	0.2425	0.5402
DW	0.1524	1.0000	0.1852	0.0317	0.3904	0.1201
GW	0.1146	0.1852	1.0000	0.0395	0.1492	0.1133
MW	0.0126	0.0317	0.0395	1.0000	0.0931	0.0170
NW	0.2425	0.3904	0.1492	0.0931	1.0000	0.2705
WW	0.5402	0.1201	0.1133	0.0170	0.2705	1.0000
