	AS	DW	GW	MW	NW	WW
AS	0.0000	0.0871	0.0504	0.0051	0.0593	0.2025
DW	0.0389	0.0000	0.0616	0.0096	0.0746	0.0534
GW	0.0237	0.0647	0.0000	0.0066	0.0275	0.0393
MW	0.0024	0.0099	0.0065	0.0000	0.0151	0.0053
NW	0.0703	0.1978	0.0693	0.0388	0.0000	0.1305
WW	0.1160	0.0685	0.0480	0.0065	0.0631	0.0000
