	AS	DW	GW	MW	NW	WW
AS	1.0000	0.0277	0.0164	0.0016	0.0332	0.0796
DW	0.0277	1.0000	0.0326	0.0049	0.0573	0.0310
GW	0.0164	0.0326	1.0000	0.0033	0.0201	0.0221
MW	0.0016	0.0049	0.0033	1.0000	0.0110	0.0029
NW	0.0332	0.0573	0.0201	0.0110	1.0000	0.0444
WW	0.0796	0.0310	0.0221	0.0029	0.0444	1.0000
