plasmid_id,length,AS_SRR11088434,AS_SRR11235435,AS_SRR11673976,AS_SRR11783213,AS_SRR13994250,AS_SRR14932642,AS_SRR8208348,AS_SRR8351382,AS_SRR8831201,AS_SRR9261047,DW_SRR15085115,NW_SRR13225453,NW_SRR13225455,NW_SRR13608705,NW_SRR13608725,NW_SRR14751605,NW_SRR21694251,NW_SRR21802946,NW_SRR25018385,WW_ERR11269302,WW_ERR1713344,WW_ERR2592329,WW_ERR4678576,WW_ERR9855099,WW_SRR11088392,WW_SRR12396704,WW_SRR22752015,WW_SRR8208343,WW_SRR8648016,DW_SRR17063163,DW_SRR18749962,DW_SRR19238510,DW_SRR21802943,DW_SRR22105540,DW_SRR22372546,DW_SRR6439731,DW_SRR7369915,GW_ERR3281033,GW_SRR12964613,GW_SRR13727526,GW_SRR13727538,GW_SRR15669520,GW_SRR18331974,GW_SRR20309467,GW_SRR21427518,GW_SRR26726064,GW_SRR7912025,NW_SRR11088437,DW_SRR15085116,NW_SRR12404955
NZ_CP138514.1,1192185,21.35671295752737,22.810229235668782,22.392359627509673,19.69497151136568,21.991293272572022,20.784916409172588,19.7977250859153,12.917535447882438,21.682465821917724,20.03474129760174,15.271173094848855,17.35767875092798,17.479415559374065,16.102741050979315,17.818437156452905,17.997319850577387,15.674905999342245,17.170614401316975,20.249671191558743,14.833645563355594,19.445058093760323,17.174604232479687,18.19599261068227,19.42797691287561,17.786847048690188,12.67433405204129,12.349665697514386,12.094682224225414,21.08392363718518,17.50000031531223,19.542387613841118,14.836383168122271,17.421660543613054,19.939224034091477,13.70702293205728,20.185394553346534,14.583280699485309,21.71319615442469,25.17646708468389,20.77405562771093,23.013244610952487,16.459663195341363,19.641152231162792,18.155258763090934,18.790002534948016,21.343084533710122,15.861880409792438,20.75010451215492,15.646167404703567,10.951337933679326
NZ_CP138516.1,1298350,20.67523408569808,21.936358670953155,21.48858006380389,18.85807022194972,21.295348759313352,20.005866902164172,18.867449908208684,12.209204828805476,19.93602957165171,19.58670654738638,15.10929657950408,17.01520012686575,17.259136363619504,16.05722827401474,17.390662928694287,17.98208316315536,15.717324045715415,16.825118865743843,20.243313619893662,14.331720433368996,18.480814824747856,16.593431626271485,17.48208407559849,18.294575876080795,17.15975833761523,12.322022516304603,11.67851721443463,11.417870820424255,20.639528055609574,17.400554778450694,19.404366936242763,14.663658885700455,15.905364379672184,19.865898511213803,13.226204740916398,19.56167664916919,14.645960565849917,20.28371738999904,24.601250059001792,20.974079914018287,21.846071944802667,15.849137984074574,17.675562297708897,17.16898769701265,18.5038803542556,20.25260718178329,15.79898975163056,20.322074996815637,15.121416602126843,11.431457087211479
NZ_CP138497.1,938298,18.807267618980504,19.847442469697196,19.137917439447264,17.080136242574493,18.71211271804305,18.197009464388493,14.036846533280515,9.934411942406498,15.055347359758207,17.295396818818492,13.321664219738832,15.513124956179324,15.409620949205854,14.188283562926218,14.606613781687454,13.891460130492261,14.492320180073115,14.548991190829906,16.0886317344369,13.094664684126595,15.359750524476608,15.466047641458461,16.603432099915885,15.384967743157645,15.065372403965856,9.399279894187012,10.065201681790093,10.024030257892681,19.271959124337222,14.833208768392428,17.612077535475926,13.77601954140309,14.086978083840249,16.847919449642735,10.864278307714049,17.513313892098573,13.597913605819446,18.594021810767796,17.46951113321785,18.46673674917254,18.475710818621295,13.594420292865214,18.311625610430152,14.34691928616809,15.87012172850738,19.052743222669278,14.59017870043054,17.77212937075544,13.781168451022289,9.230066878629845
NZ_CP076395.1,404150,25.103248085444676,25.55486905753278,25.300507088007105,26.66469750300759,28.09633415932578,24.749387041374302,30.94588843909619,50.13416925142902,19.05052964418266,27.393079162354795,69.63763549198293,28.172283522800072,28.790089183365946,66.48805626556351,61.34697887084329,18.967414243194213,20.292890115171055,26.40359435609116,33.95413767925268,50.92941108049833,28.489136861415524,26.177094476665964,22.765861404725413,30.550717461779513,18.027009713231124,31.5144878459479,22.040172060331276,22.51887368667487,23.944825073857462,31.23456241810574,35.220718052416316,102.90375683397696,106.78454386124596,25.095835010112253,159.2167789687018,25.910934014398222,16.083354661664437,40.25702581543435,13.4503680300867,20.40335731442029,19.291499495801386,47.40162348810248,18.80519061865692,14.419004926523296,35.52341626347097,32.87876170791554,87.0968021396954,24.097163642742494,78.59673688406593,38.52183846274814
NZ_CP136338.1,142941,18.732152186867268,17.168251408945675,16.710224173077965,22.085834659130477,13.402368361788033,28.031667974456944,25.064342712223965,45.38344947452456,39.3945320840271,21.996655412682642,11.69026049284465,24.583897560484882,23.633153035458587,17.739880425889712,34.65464292166461,43.99181635850699,28.99094938240885,29.940504321157224,16.663884632690078,46.76938991894954,24.940468939480432,27.6867512800646,39.77067283657247,25.05602011350982,14.753822972733948,67.37201769769895,51.63799258320762,23.176102592931425,21.09324029773654,21.89916905274229,16.095810551089542,19.75910956465887,16.758380270014992,12.572596082783305,25.538091099437693,21.480349637235687,35.232403383104,13.081970599584421,32.339282828892784,16.461199605977995,20.319611340279213,21.454989270704598,100.6274733487157,39.01050794990253,40.12836406061002,31.08310384880215,19.68358614894782,14.596069798734463,13.249292918194215,22.413597262699444
NZ_CP155749.1,880083,25.183223286291632,25.01882684943574,25.002115972942885,24.75724000119402,25.898841359072883,23.95617163922431,21.215914958751682,26.148355309753896,16.739758990633764,28.037861916444008,56.96616652517027,25.677476355539437,27.896513886513702,40.520327433667454,30.127723205626065,21.218797516898906,20.80238364115923,25.284549788492004,32.27258251943136,23.311497732781717,23.601886133413572,21.155796739299692,21.102890059711473,24.33710327910968,21.474471382727256,20.800129297160986,13.565754893524838,15.386752225655028,25.060763731083565,28.32356450702102,31.91922336125195,44.74335972330792,42.20865581012808,26.470039780014663,86.64685337208458,23.594521133410726,16.660122297455207,36.08057009057474,14.916597536856274,23.730880182479797,20.574016454689147,33.87358150184047,13.9354879114689,13.209646031827223,33.46005734964723,26.460878864056994,60.32294225214017,27.213852444101285,70.85223723086641,40.81825306817382
NZ_CP149519.1,94230,17.705814465624197,16.10323377316836,16.320644869943845,17.631038738714782,16.51073841889618,14.718136464962505,13.768227322671907,21.903986870580226,10.657588876818908,23.69494159180897,14.044728933815703,16.15132827219559,16.68910259177499,13.02513842058821,10.44403857502307,11.421884348950941,11.710192004558547,13.87442588956156,14.374253139223374,9.840462580528058,14.187422678598663,11.383562348620115,13.319508877789676,16.06885656566682,12.017922330679443,7.950601909367312,14.243231394207532,15.647421952099359,16.92122662990189,9.399830358503959,13.553213142762212,11.605616073968704,11.622481588463867,12.225241436614391,16.206803400340068,16.548583709325175,10.298426346697713,11.2371317568646,6.864194158680116,14.165326718034489,15.298019478443562,27.72790000607565,5.957409963831313,7.1146030430859115,9.449098979847859,15.049482114244983,5.97570439421343,15.334211296111768,15.131829696970643,6.562695936512237
NZ_LR743510.1,2832553,22.95750056496506,22.692450727116782,23.47360044991564,22.618722322156575,25.788370087117716,20.26910710370301,23.65495635815383,19.906310909520773,17.2721495958267,20.264017047575333,50.035796172018316,17.533567966678916,18.457053282600636,24.10247519091067,19.273637562012244,14.914680116513647,19.282021162795264,19.379460347985603,21.885256516375442,17.50246122700444,20.464629673796125,15.934038628800064,16.269584538997556,21.35961351702591,16.206978978090383,14.50861971255566,12.803188056225505,15.377212765468125,21.84500085107897,22.52570838385971,22.148654544454214,19.998799818710683,19.412892141991215,25.1487569755919,23.504985553635628,20.997625425822516,17.14912021302155,19.863746230361432,15.52244378613515,22.121373398774345,20.323533296980273,20.54903105339512,9.618183421111096,12.032421102109447,15.973848634608316,17.166747812478466,14.591231214080254,21.96615759135379,39.908300857219245,21.94989837009746
NZ_CP062179.1,763274,11.0341072860715,11.893083803902984,11.291705505042428,10.797593287858808,10.813101382655864,9.939765874704573,7.594631587391121,5.247902812328848,7.812696038790569,8.943444715714943,8.081825749061416,7.898794813963533,8.299720116690333,8.202901055152223,6.383226109560734,5.930163279244362,8.927490918064953,7.634197546909246,8.781287960533495,5.719639129473827,8.717887787024269,8.094253132224543,7.872567723225859,8.622181313201713,8.447763245173407,4.50853288083912,4.458523324089084,5.247478806920107,12.144759618513872,9.270298895358193,11.000749308805183,8.540319673884348,8.630677748876405,10.090652554170923,5.363444937861437,9.756137427518867,7.471917687989973,8.529329200270082,6.674069640718659,9.995280791936827,10.264980986130146,7.2354485098369,4.612829475019807,4.656443260306674,6.703558685447095,7.265280853498334,6.381614034526157,10.848700221493973,8.402195086547277,4.498553534228671
NZ_CP046503.1,311349,4.732183546887702,4.570992036669413,3.406448980571166,5.367137937220009,2.993065907789651,5.575624012165241,3.016328885456192,6.095718542847437,3.966597029248843,5.012540791053144,12.23924462512708,5.082634948067122,5.490474069967642,2.804845384350028,2.8637635525662692,3.3699723842988702,6.168907917909965,2.474235064415483,2.5186643202231376,23.5038805457085,9.499941431090157,16.911293057346978,10.857096513472206,8.244004309281937,6.569502763628411,5.228338383663816,6.66517234396265,13.388877356164064,6.145121023894946,2.634647521331547,5.079436418250906,3.5020146858498786,5.907493409848186,3.193333424522168,6.875952412853776,5.816395896241939,3.852065848098178,2.362465885886817,2.7372072405910943,4.240129122711791,5.1694735016552595,2.6400717578831787,4.760590741388907,1.4357266600343812,1.954038142376764,2.3245426934782967,1.7139382091529447,5.1383492649802545,10.116684779251731,2.5675613973786238
