Percentage	AS	DW	GW	MW	NW	WW
10	0.29085397801415636	0.2166515834528607	0.229269584604917	0.01910853263916427	0.27671189588164985	0.43039761117732644
11	0.31150045155594436	0.23257400878592013	0.24401381500638727	0.021207057719766203	0.2968375769025306	0.4498632147252182
12	0.3295992867318463	0.24573642430983922	0.2591981913696306	0.02317733433614147	0.31398161999212976	0.4669065427878303
13	0.35120033597115563	0.2607676520543513	0.2726641970837401	0.025797412560649984	0.33433379692123094	0.48234420512629417
14	0.36681291278000955	0.27245383982123955	0.28428030086205913	0.027657801863575526	0.3514449186216149	0.49711669364616007
15	0.3810323300454879	0.28402138402138405	0.2959200569820039	0.029209924141938976	0.366944056599229	0.5102610233500285
16	0.39894677531206657	0.297085014500063	0.30851324978827344	0.03127694847665566	0.38279103628952976	0.5251777272694266
17	0.4144166981072754	0.30860758118822634	0.3202863154333323	0.033294296196857434	0.39775791116787285	0.5402463019607271
18	0.43415676189783853	0.32225535744182154	0.33115150181717434	0.03473924791764837	0.41523488307002626	0.554167108591337
19	0.44666120989616154	0.33337040367232973	0.3410788075900734	0.03630358364289304	0.4304298195051933	0.562688681087966
20	0.46235768943635686	0.3447815925209542	0.353446201803385	0.03813335203546392	0.4461420130491623	0.5768249312027857
21	0.4827034467963387	0.35784029150197627	0.3649300211619854	0.04106737383780298	0.4657141915153534	0.5938235070946202
22	0.5025558228969517	0.3689121513528552	0.3753140001760432	0.042369555204787766	0.4815049331578366	0.6117909871800522
23	0.5244540093807784	0.38199540391057096	0.38506191656998123	0.043286590552090186	0.4958878744004176	0.6224788429932511
24	0.5409054220263414	0.394934495883863	0.3982430138473602	0.044352543139919334	0.5114488628238083	0.6401623869315566
25	0.5539498258720441	0.40389055981371885	0.4071977030817616	0.04472496579964197	0.5236093562373325	0.6545173132476937
26	0.571967602830606	0.41659391029138926	0.41923849185691975	0.04454835086073985	0.5389864758163802	0.6687261291951335
27	0.586410251899803	0.4280049829849295	0.43144550660167524	0.04527111440148596	0.5502523545119894	0.6831924107101194
28	0.5985752073482676	0.4370966662203775	0.4411550041054648	0.04560258214381288	0.5614484526677915	0.6963839133105609
