Representative	AS	DW	GW	Group	MW	NW	WW
SRR14751621_k141_2073539_2_518828213	87	59	27	0	2	317	298
SRR11088457_k141_716218_2_16216750	135	108	25	0	12	363	314
SRR13727527_k141_18353_104_123923562	189	83	56	0	0	205	89
SRR11088427_k141_817538_1_32880891	184	57	39	0	1	157	339
SRR13225455_k141_746646_1_342866129	21	64	53	0	6	153	134
SRR4754859_k141_324455_1_130617872	79	53	31	0	1	82	88
ERR3281041_k141_162461_3_13294404	274	124	70	0	7	419	451
ERR5954406_k141_240789_4_196397894	76	111	24	0	5	439	143
SRR13225448_k141_213589_1_336538818	202	69	32	0	3	291	271
SRR8797414_k141_67312_1_62937428	13	47	41	0	11	123	118
SRR22372548_k141_85874_1_218303891	63	159	36	0	20	107	76
SRR11088457_k141_1662638_1_14656882	294	173	90	0	3	419	489
SRR14932632_k141_1286574_1_689982849	93	106	37	0	11	161	103
ERR4678577_k141_943859_1_39807725	204	83	50	0	2	158	463
ERR1713337_k141_785791_1_89067801	185	64	67	0	1	159	467
ERR4678613_k141_196308_2_29416898	74	50	38	0	0	192	386
SRR11088396_k141_94278_3_372649469	163	56	26	0	6	85	376
SRR14932480_k141_465423_5_447620224	282	79	23	0	2	247	209
ERR1414226_k119_253884_3_5014679	122	201	84	0	0	181	87
SRR12964613_k141_111772_2_114770481	62	48	51	0	0	85	330
SRR8503604_k141_3347012_1_68813792	275	62	37	0	576	280	175
ERR5954398_k141_480499_2_191870267	376	284	88	0	55	350	226
SRR9261028_k141_403639_6_238837587	294	85	50	0	1	281	112
SRR12964614_k141_464243_7_115269303	539	225	146	0	32	228	519
ERR1725992_k141_369419_3_64563854	9	55	48	0	2	110	241
ERR3281040_k141_221009_2_22841977	60	58	53	0	0	96	307
SRR12404952_k141_903878_2_96996208	212	85	26	0	1	230	63
SRR1763384_k119_181712_14_14314135	199	46	32	0	3	100	334
SRR18749959_k141_176336_2_92117539	315	191	105	0	5	435	383
SRR22372582_k141_386353_2_229752850	206	116	25	0	1	405	299
SRR26726063_k141_69652_1_158290093	56	60	26	0	0	154	59
SRR1168486_k141_469869_2_11700738	416	193	71	0	6	154	61
ERR11269306_k141_1253266_1_204623035	478	322	104	0	75	458	338
SRR1144841_k119_179160_9_604457	161	65	58	0	1	136	451
ERR2592250_k141_582761_1_72803253	8	45	50	0	3	82	164
SRR18331990_k141_14371_1_174281299	440	235	130	0	11	553	507
ERR5954389_k141_951528_1_186711076	13	83	58	0	6	146	71
SRR12354360_k141_390572_1_234794184	228	85	67	0	0	236	428
ERR1713358_k141_549304_2_113507958	321	58	55	0	3	215	450
SRR11088454_k141_558344_1_87621058	229	112	79	0	1	275	112
SRR14751619_k141_328037_15_514524197	290	179	81	0	17	522	416
SRR11088485_k141_2384553_3_411405410	321	96	69	0	33	299	175
SRR19238505_k141_484460_1_124584094	118	54	28	0	4	262	250
SRR14560466_k141_351123_1_445233876	181	127	32	0	1	141	86
SRR14751605_k141_95656_3_462950743	187	68	25	0	6	325	310
SRR9852212_k141_1157411_1_344290510	292	81	41	0	52	338	165
ERR1713344_k141_1440611_1_94308598	266	82	36	0	207	160	107
SRR11088384_k141_528925_3_34183703	126	49	50	0	33	232	483
ERR4678571_k141_1047598_1_9279109	221	45	27	0	3	92	119
ERR4678640_k141_591102_4_142662279	154	65	29	0	1	279	356
SRR22372569_k141_192922_5_196265680	100	54	34	0	3	100	99
SRR19786826_k141_160842_16_549846276	6	47	33	0	2	89	185
SRR14143312_k141_13554_9_74008730	142	87	83	0	1	189	428
ERR11269302_k141_344572_1_199035365	7	76	69	0	10	152	134
SRR19786824_k141_310881_1_548790463	17	58	32	0	1	108	114
ERR4869746_k141_702307_2_94605459	102	132	29	0	0	427	121
SRR13727519_k141_112148_2_118592865	230	142	70	0	1	335	361
SRR14751619_k141_342992_1_514933166	194	209	64	0	40	264	147
SRR6747734_k141_207274_2_83837083	171	86	32	0	5	333	223
SRR11548472_k141_173440_1_67598768	24	114	86	0	19	275	239
SRR10761722_k141_2011011_1_121327377	16	63	56	0	9	138	273
SRR14560466_k141_515867_1_445367568	353	112	63	0	13	274	271
SRR13107670_k141_703479_2_315601463	48	91	94	0	19	193	294
ERR3858110_k141_18934_3_14167182	193	82	36	0	3	248	373
ERR4869731_k141_713802_2_84520629	136	68	31	0	1	277	391
ERR1725999_k141_290914_1_7390321	152	118	59	0	1	326	417
SRR6747755_k141_128250_2_104239702	243	104	32	0	10	214	103
SRR12480302_k141_147422_1_172189955	134	50	24	0	582	210	102
SRR14932631_k141_748428_1_686122397	434	85	28	0	0	149	156
SRR8831201_k141_1646126_2_214072781	283	95	35	0	0	164	76
SRR12404963_k141_223115_6_79068205	57	115	103	0	29	225	343
ERR11269299_k141_817495_1_22568036	22	70	68	0	10	153	264
ERR1713371_k141_308228_2_126327193	110	44	34	0	1	127	452
SRR11088481_k141_690866_1_402507501	21	45	55	0	5	134	268
SRR8351385_k141_621800_1_209034503	125	53	62	0	0	96	399
ERR4678622_k141_767520_1_97152050	106	86	24	0	4	326	271
ERR4678688_k141_354603_1_276293069	64	81	29	0	12	252	194
SRR6797144_k119_81203_1_12622261	225	61	24	0	2	339	73
SRR22752014_k141_1430443_1_259441356	19	83	63	0	13	188	150
SRR11088448_k141_785248_2_2470865	290	102	39	0	2	327	220
ERR9903369_k141_224516_2_272610786	25	90	63	0	8	165	124
SRR8517158_k141_535718_1_90536326	244	128	52	0	47	363	157
SRR13727540_k141_129101_1_135265742	80	66	46	0	0	138	300
ERR4678602_k141_370462_1_66269323	247	118	68	0	4	400	447
SRR15669521_k141_256108_8_140776504	29	53	59	0	2	120	119
SRR12328016_k141_54052_1_217681590	405	142	88	0	205	385	325
SRR14932647_k141_530695_2_717927857	103	66	55	0	3	101	157
SRR6986819_k119_154851_3_32456378	240	117	57	0	5	323	331
SRR3098764_k141_165799_4_1158265	5	48	24	0	2	87	108
SRR13225447_k141_688993_6_383687305	70	78	58	0	1	334	79
ERR11269303_k141_160773_1_200665610	42	81	69	0	12	161	285
SRR19786821_k141_587605_1_546934912	7	72	50	0	14	173	147
SRR11088485_k141_237851_1_411670194	9	68	50	0	5	126	66
SRR8797412_k141_580925_6_60370821	12	52	52	0	6	81	91
SRR22752010_k141_1224704_1_250612808	27	44	42	0	0	105	157
SRR22752010_k141_926805_3_250827620	114	75	30	0	1	311	236
SRR19238507_k141_362919_2_127331237	520	159	81	0	1	152	340
SRR12964612_k141_63476_1_113777077	112	123	49	0	3	380	275
SRR12964612_k141_551660_1_113906766	50	47	24	0	1	135	339
SRR13608702_k141_285454_11_350709560	116	164	31	0	7	121	82
ERR1713351_k141_910178_4_105015569	23	52	46	0	1	126	157
SRR9852173_k141_348384_2_268123892	386	45	25	0	0	94	74
SRR14932673_k141_249317_2_770070793	371	149	46	0	5	445	362
ERR2592283_k141_280550_1_62066768	227	46	37	0	0	121	350
ERR1725975_k141_117591_4_184544542	5	47	44	0	2	81	152
SRR18749963_k141_258477_1_96859564	128	183	62	0	11	94	107
SRR14932619_k141_269671_13_665628538	293	47	39	0	0	139	185
SRR7912025_k141_101761_2_58882600	226	79	64	0	0	206	286
SRR26502660_k141_766409_1_204131234	5	67	60	0	17	213	172
ERR5954450_k141_354407_1_225331437	6	58	38	0	6	93	59
SRR22372536_k141_325669_1_193538683	305	45	42	0	1	122	188
ERR4678589_k141_711921_4_21370929	237	54	52	0	39	261	516
SRR8831205_k141_104648_25_217491494	233	134	59	0	354	236	139
SRR14932615_k141_1261094_1_660985282	501	59	38	0	5	271	370
SRR13727532_k141_15485_1_129901067	155	57	44	0	4	229	87
SRR6516143_k141_12639_2_57876480	185	102	90	0	7	242	263
SRR22372596_k119_67045_38_211109469	259	232	52	0	18	258	245
ERR3281038_k141_598839_6_11958177	64	50	29	0	4	277	267
SRR12404952_k141_3010675_1_97751290	275	89	35	0	57	327	221
SRR17063156_k141_107485_1_60688826	200	157	42	0	406	319	61
SRR18749960_k141_892468_21_92836246	22	72	58	0	11	184	106
SRR11088392_k141_711165_1_9418156	37	90	79	0	10	176	261
