50	24825132
100	39962380
150	59101189
200	79594184
250	97445791
300	122082850
350	140342555
400	158912018
450	177756393
500	196513170
550	213104471
600	230174662
650	251163365
700	262442443
750	282263240
800	297656654
850	311651592
900	323707225
950	335784167
1000	350023633
1050	367274121
1100	380484816
1150	393922056
1200	406962446
1250	419310009
1300	429333803
1350	443465805
1400	457353022
1450	469546237
1500	479564952
1550	489403748
1600	498664001
1650	507482604
1700	517664366
1750	527357345
1800	537334996
1850	547269585
1900	554589080
1950	562736547
2000	568707764
2050	577180901
2100	584890230
2150	591843491
2200	597806323
2250	605693339
2300	615095871
2350	620810559
2400	628468750
2450	635195417
2500	641457197
2550	646616538
2600	651359780
2650	656005992
2700	659736224
2750	663886349
2800	667187389
2850	670818065
2900	673822971
2950	676814289
