20	9166845
40	16779619
60	24680931
80	34802934
100	41898472
120	51015144
140	59877021
160	73156685
180	79161041
200	84552601
220	91360719
240	96377040
260	103164813
280	110391481
300	118601085
320	124293516
340	131673723
360	138760100
380	143590770
400	148945597
420	153403398
440	158351117
460	163335279
480	167325864
500	172442584
520	176702605
540	181401307
560	185271675
580	189777617
600	193196977
620	195175721
640	196839568
660	197515874
680	197559224
700	197559224
720	197559224
740	197559224
760	197559224
