SRR2107216_k141_443719_1_23810495	SRR2107216_k141_443719_1_23810495
SRR2107216_k141_42000_1_23816103	SRR2107216_k141_42000_1_23816103
SRR2107216_k141_42000_1_23816103	SRR2107215_k141_104521_2_23278334
SRR2107216_k141_42000_1_23816103	SRR3501851_k141_201687_1_29276690
SRR2107216_k141_42000_1_23816103	SRR3501853_k141_1336211_1_32479632
SRR2107216_k141_42000_1_23816103	SRR3501857_k141_272713_1_39265718
SRR2107216_k141_42000_1_23816103	SRR3501884_k141_1171259_1_49439045
SRR2107216_k141_42000_1_23816103	SRR3501886_k141_164450_1_51702292
SRR2107216_k141_42000_1_23816103	SRR3501886_k141_33227_1_52562442
SRR2107216_k141_42000_1_23816103	SRR3501887_k141_1277297_1_54410540
SRR2107216_k141_42000_1_23816103	SRR3501889_k141_915579_1_58815797
SRR2107216_k141_42000_1_23816103	SRR8223441_k141_856095_3_199297571
SRR2107216_k141_42000_1_23816103	SRR8223441_k141_287919_1_200072380
SRR2107216_k141_42000_1_23816103	SRR8351382_k141_50726_1_203193731
SRR2107216_k141_42000_1_23816103	SRR8351382_k141_846215_12_203756065
SRR2107216_k141_42000_1_23816103	SRR8351384_k141_1033239_41_207444043
SRR2107216_k141_42000_1_23816103	SRR8351385_k141_2251242_5_207966440
SRR2107216_k141_42000_1_23816103	SRR8831205_k141_752267_2_217933615
SRR2107216_k141_42000_1_23816103	SRR9261000_k141_34604_1_224617010
SRR2107216_k141_42000_1_23816103	SRR9261003_k141_296401_1_226186100
SRR2107216_k141_42000_1_23816103	SRR9261003_k141_269616_1_226297590
SRR2107216_k141_42000_1_23816103	SRR9261007_k141_271305_3_227988842
SRR2107216_k141_42000_1_23816103	SRR9261022_k141_311635_1_234829548
SRR2107216_k141_42000_1_23816103	SRR9261022_k141_119600_2_235182781
SRR2107216_k141_42000_1_23816103	SRR9261024_k141_499294_1_236205905
SRR2107216_k141_42000_1_23816103	SRR9261024_k141_59018_1_236450483
SRR2107216_k141_42000_1_23816103	SRR9261025_k141_418748_1_236963344
SRR2107216_k141_42000_1_23816103	SRR9261026_k141_208696_2_237497223
SRR2107216_k141_42000_1_23816103	SRR9261031_k141_39623_1_239618941
SRR2107216_k141_42000_1_23816103	SRR9261031_k141_316753_1_239989619
SRR2107216_k141_42000_1_23816103	SRR9261042_k141_139372_1_245901534
SRR2107216_k141_42000_1_23816103	SRR9261042_k141_126224_1_245983560
SRR2107216_k141_42000_1_23816103	SRR9261049_k141_69271_1_249255080
SRR2107216_k141_42000_1_23816103	SRR9261050_k141_85554_1_249666769
SRR2107216_k141_42000_1_23816103	SRR9261051_k141_27608_1_249943798
SRR2107216_k141_42000_1_23816103	SRR9261051_k141_16547_1_250008670
SRR2107216_k141_42000_1_23816103	SRR14932486_k141_523805_1_459604692
SRR2107216_k141_42000_1_23816103	SRR14932513_k141_36382_1_488206791
SRR2107216_k141_42000_1_23816103	SRR14932514_k141_473221_1_490433653
SRR2107216_k141_42000_1_23816103	SRR14932516_k141_530918_1_492938032
SRR2107216_k141_42000_1_23816103	SRR14932523_k141_161720_1_511251954
SRR2107216_k141_42000_1_23816103	SRR14932545_k141_1110951_1_550469316
SRR2107216_k141_42000_1_23816103	SRR14932561_k141_398914_1_582654348
SRR2107216_k141_42000_1_23816103	SRR14932583_k141_908477_1_617246369
SRR2107216_k141_42000_1_23816103	SRR14932595_k141_840269_3_639744376
SRR2107216_k141_42000_1_23816103	SRR14932596_k141_945605_2_641258687
SRR2107216_k141_42000_1_23816103	SRR14932612_k141_673836_1_653099402
SRR2107216_k141_42000_1_23816103	SRR14932612_k141_1356464_2_653973589
SRR2107216_k141_42000_1_23816103	SRR14932613_k141_580946_1_655578670
SRR2107216_k141_42000_1_23816103	SRR14932614_k141_14840_20_657340322
SRR2107216_k141_42000_1_23816103	SRR14932678_k141_855097_1_777526981
SRR2107216_k141_42000_1_23816103	SRR6439735_k141_879262_1_2144091
SRR2107216_k141_42000_1_23816103	ERR4678590_k141_999722_1_26810725
SRR2107216_k141_42000_1_23816103	ERR4678634_k141_784305_1_113501646
SRR2107216_k141_42000_1_23816103	ERR4678667_k141_630934_1_167867464
SRR2107216_k141_42000_1_23816103	SRR12341065_k141_118746_1_234429165
SRR2107216_k141_42000_1_23816103	SRR12354360_k141_34378_1_235041585
SRR2107216_k141_42000_1_23816103	SRR12354360_k141_42501_1_235278514
SRR2107216_k141_42000_1_23816103	SRR13695361_k141_17912_2_241487266
SRR2107216_k141_42000_1_23816103	SRR13706099_k141_131580_1_241976915
SRR2107216_k141_42000_1_23816103	SRR13706189_k141_309400_2_242311481
SRR2107216_k141_233313_1_23816106	SRR2107216_k141_233313_1_23816106
SRR2107216_k141_175745_1_23816108	SRR2107216_k141_175745_1_23816108
SRR2107216_k141_329118_1_23816109	SRR2107216_k141_329118_1_23816109
SRR2107216_k141_329118_1_23816109	SRR2107215_k141_35003_1_23544185
SRR2107216_k141_329118_1_23816109	SRR9261043_k141_350070_1_246431024
SRR2107216_k141_329118_1_23816109	SRR9261043_k141_251417_1_246542529
SRR2107216_k141_329118_1_23816109	ERR11269302_k141_1210432_1_199418014
SRR2107216_k141_270883_1_23816115	SRR2107216_k141_270883_1_23816115
SRR2107216_k141_22793_1_23816117	SRR2107216_k141_22793_1_23816117
SRR2107216_k141_175747_1_23816123	SRR2107216_k141_175747_1_23816123
SRR2107216_k141_61038_1_23816127	SRR2107216_k141_61038_1_23816127
SRR2107216_k141_61038_1_23816127	ERR4678614_k141_403135_1_85434152
SRR2107216_k141_61038_1_23816127	ERR4678614_k141_403177_1_85435346
SRR2107216_k141_79765_1_23816130	SRR2107216_k141_79765_1_23816130
SRR2107216_k141_347651_2_23816132	SRR2107216_k141_347651_2_23816132
SRR2107216_k141_347651_2_23816132	SRR2107215_k141_449899_1_23077180
SRR2107216_k141_347651_2_23816132	SRR2107215_k141_103721_1_23249654
SRR2107216_k141_347651_2_23816132	SRR2107215_k141_125356_1_23322840
SRR2107216_k141_347651_2_23816132	SRR2107215_k141_114804_2_23634640
SRR2107216_k141_347651_2_23816132	SRR2107218_k141_393422_3_24571302
SRR2107216_k141_347651_2_23816132	SRR2107219_k141_292159_3_25489559
SRR2107216_k141_347651_2_23816132	SRR2107219_k141_109519_2_25611030
SRR2107216_k141_347651_2_23816132	SRR3501861_k141_1204938_1_45181719
SRR2107216_k141_347651_2_23816132	SRR3501888_k141_577500_1_56564531
SRR2107216_k141_347651_2_23816132	SRR6747735_k141_142526_1_84993425
