20	4169363
40	10319913
60	15551426
80	18823518
100	24536818
120	27919857
140	31591731
160	34561536
180	36378491
200	39238000
220	44014520
240	46094022
260	49084804
280	52131096
300	53894730
320	55727097
340	57462810
360	59758756
380	60410207
400	61620629
420	62673278
440	63832125
460	64974815
480	66435157
500	67565029
520	68854536
540	69972895
560	70742214
580	71759306
600	72750888
620	73745300
640	74682830
660	75626469
680	76640142
700	77371530
720	78027128
740	78808061
760	79382490
780	79596218
800	79596226
