"Group","n","mean_iRep","sd_iRep","median_iRep","min_iRep","max_iRep"
"AS",68,1.61687153234375,0.24670859184793,1.5631715975,1.209137122,2.451005323
"DW",154,1.55437473394366,0.275755830517402,1.500038464,1.164473295,2.572635051
"GW",155,1.42402278922148,0.17242151726281,1.381161186,1.086397926,1.979251975
"NW",31,1.76807210986207,0.249985432147875,1.794672086,1.308509028,2.372764101
"WW",38,1.71473980273684,0.156004851209842,1.713911658,1.410997132,1.98264216
"Overall",446,1.54695400372986,0.251676514417355,1.4985424075,1.086397926,2.572635051
